video_id,timestamp
PN77MQRGJDs,"['0:05:51.651', '00:05:59.651']"
CS-ZtvWVF_g,"['0:12:49.769', '00:12:57.769']"
KsXy4gcmZ_s,"['0:00:05.972', '00:00:17.972']"
YDuOT5r3g6c,"['0:04:01.866', '00:04:05.866']"
A_QJpyuXQ08,"['0:00:07.160', '00:00:15.160']"
X_tO0dKICNM,"['0:02:33.800', '00:02:49.800']"
ZrClVdVlHo4,"['0:00:41.374', '00:00:45.374']"
Zq9FhxylYcE,"['0:00:06.965', '00:00:18.964']"
oFoDFeI-BdQ,"['0:00:37.200', '00:00:45.200']"
WHx40DWz82c,"['0:00:41.600', '00:01:05.599']"
pYmBKcGUgG8,"['0:01:10.603', '00:01:18.602']"
qM7P6IOnXMQ,"['0:00:15.081', '00:00:23.080']"
G03Oc-rQrmU,"['0:00:16.116', '00:00:58.115']"
RHwt5pAmY7I,"['0:05:07.440', '00:05:47.439']"
CzVfbqzMcBE,"['0:01:21.100', '00:01:53.099']"
5SlkpWPQYfM,"['0:10:11.177', '00:10:55.177']"
uR8Hr4vhreQ,"['0:00:37.600', '00:00:41.600']"
mQHkQ3DF6DE,"['0:03:45.925', '00:04:21.925']"
pC4lZ2us2LI,"['0:05:03.369', '00:05:31.369']"
vukB_v0W6VI,"['0:08:23.603', '00:08:39.603']"
gC3WLyU0Y-8,"['0:05:45.128', '00:06:33.127']"
trp-R6pRq1s,"['0:02:18.705', '00:02:46.704']"
B4M12DdoASY,"['0:02:22.475', '00:02:38.474']"
9YvnMbidrI4,"['0:04:20.100', '00:04:40.100']"
5LSun8wBWHQ,"['0:00:11.000', '00:00:35.000']"
87ggqKljUrk,"['0:00:24.375', '00:00:56.375']"
Cap6K-QGdR4,"['0:00:13.620', '00:00:45.619']"
3slsn-thNao,"['0:01:37.697', '00:02:17.697']"
9ZrPd6HXyXs,"['0:05:59.650', '00:06:19.649']"
88y8mPb_q5g,"['0:00:05.422', '00:00:17.422']"
2BM6UJBe3NA,"['0:01:10.680', '00:01:56.680']"
3uwfCRGejRk,"['0:09:41.000', '00:09:53.000']"
0lBJoxWbWIw,"['0:10:36.869', '00:11:18.869']"
Cc76HvFvThE,"['0:00:05.972', '00:00:21.972']"
-8qismhPhX0,"['0:08:47.783', '00:09:35.783']"
6fB4_RdDrXc,"['0:00:05.796', '00:00:51.795']"
5MSkvU48HTk,"['0:03:21.167', '00:03:49.167']"
B6UfTSabDr0,"['0:00:46.120', '00:01:22.120']"
2BZGjycR7YM,"['0:04:04.477', '00:04:16.476']"
3xh4YCAEH-E,"['0:18:10.055', '00:18:30.055']"
8BKWjqLMcTk,"['0:00:28.428', '00:00:52.427']"
-AvToOrK3bs,"['0:07:37.300', '00:07:57.300']"
CfhG6D8NyAU,"['0:01:03.263', '00:01:27.263']"
9amvlN-JnDo,"['0:11:04.400', '00:11:32.399']"
6gm3stdrEmw,"['0:00:14.040', '00:00:30.039']"
0n3AO6RzOKU,"['0:00:05.972', '00:00:33.972']"
9hI6pIkMUjk,"['0:00:06.000', '00:00:18.000']"
B6vbWopozfI,"['0:02:25.145', '00:02:49.145']"
6iJvyBr1PM4,"['0:00:05.972', '00:00:17.972']"
3z97wnGQOxE,"['0:00:05.964', '00:00:25.963']"
8C2YiIoRBK4,"['0:14:56.595', '00:15:20.595']"
0puKKlagJWQ,"['0:04:10.840', '00:04:30.840']"
Cgrd54HaMng,"['0:05:39.300', '00:05:59.300']"
2FCNIxR591I,"['0:05:14.580', '00:05:50.579']"
9hIDHpKtll8,"['0:00:06.740', '00:00:22.740']"
42_LII9PkTg,"['0:01:13.923', '00:01:33.923']"
6n-ERGve3Es,"['0:05:21.921', '00:05:41.920']"
9jWpK_voGoU,"['0:04:09.148', '00:04:21.148']"
-CG6D2A-n48,"['0:05:47.033', '00:06:33.033']"
5N3jZdW1X5w,"['0:01:05.231', '00:01:53.230']"
8Chu4r3d8bs,"['0:00:10.944', '00:00:34.944']"
9lJRoV7LQks,"['0:05:10.443', '00:05:22.442']"
Cjaa1_Wd4DU,"['0:00:06.000', '00:00:26.000']"
42x_YdN2Khc,"['0:00:06.000', '00:00:22.000']"
9mTTVKevJrk,"['0:07:34.353', '00:07:46.353']"
B7jWSQZ_4sQ,"['0:02:06.459', '00:02:54.459']"
6rOO9hwdq8A,"['0:02:26.779', '00:02:50.778']"
CnWPW_EygH8,"['0:02:19.348', '00:02:31.348']"
8Fjk1xRULmk,"['0:00:48.581', '00:01:08.581']"
1-DzGMErFVg,"['0:14:47.119', '00:15:35.119']"
2I6cSYk-c78,"['0:00:05.972', '00:00:53.972']"
CnlWkxhh1zE,"['0:03:22.000', '00:03:42.000']"
B8g-un28So8,"['0:00:06.000', '00:00:30.000']"
6rhHNyJiewk,"['0:00:38.913', '00:01:06.912']"
9nBTiOiiazM,"['0:28:37.783', '00:29:09.782']"
-Fq1EsEvcNk,"['0:03:46.880', '00:04:32.879']"
BBNxWylpbzY,"['0:07:58.133', '00:08:22.132']"
5OsCONjzxyM,"['0:06:35.328', '00:07:23.327']"
8G3DKko1fd8,"['0:06:08.101', '00:06:48.100']"
43zwd94jLsk,"['0:00:05.972', '00:00:53.972']"
-GvA4QcsqG8,"['0:00:22.100', '00:00:34.100']"
6tV5VUR3TYE,"['0:00:05.271', '00:00:29.271']"
5PfCv9ZeQ6g,"['0:06:39.799', '00:06:55.798']"
8HooavCg_tk,"['0:09:00.100', '00:09:16.100']"
2IdS1AiIJGE,"['0:08:10.623', '00:08:42.623']"
12x3wSMXhFQ,"['0:01:00.009', '00:01:48.009']"
-K4jGnvb9EE,"['0:04:02.680', '00:04:18.680']"
CpBKNeGl9Fg,"['0:00:15.849', '00:00:57.849']"
9noGyz1YMJM,"['0:00:32.032', '00:01:08.031']"
8JcftON9B9o,"['0:02:21.000', '00:02:33.000']"
2M0Cyrzz3j0,"['0:01:38.840', '00:01:54.840']"
BDoxvYLdSZE,"['0:04:55.253', '00:05:45.252']"
6uGBxJggd0g,"['0:02:21.720', '00:03:01.719']"
45-pIu8qeaE,"['0:00:47.347', '00:01:35.347']"
12xiGT_LG9w,"['0:00:25.291', '00:01:01.290']"
5TagT0vQvls,"['0:03:02.800', '00:03:48.800']"
45z_TkWzfcE,"['0:05:42.875', '00:05:54.875']"
BE5M-m_Infg,"['0:05:11.000', '00:05:35.000']"
5VlhyL_TAe4,"['0:03:10.657', '00:03:26.657']"
6uMcdpiV094,"['0:03:31.360', '00:03:55.360']"
9op3By8pcUk,"['0:02:40.840', '00:03:26.840']"
Cqe_5C5yQJU,"['0:05:22.889', '00:06:02.889']"
8KBbKPFGNHM,"['0:05:27.060', '00:06:15.060']"
2NJUWF6NjPA,"['0:00:06.000', '00:00:38.000']"
13G6utHzr9E,"['0:00:21.646', '00:00:45.646']"
-LA-gGQR9MU,"['0:01:38.473', '00:02:28.473']"
4AvxkRPeE4Q,"['0:08:57.937', '00:09:17.937']"
8MHelN24RTc,"['0:03:55.435', '00:04:07.435']"
5YS-ETfGM8w,"['0:05:10.977', '00:05:22.976']"
2Qbg_gLub5Y,"['0:04:08.248', '00:04:20.247']"
6vXei3wLaQ4,"['0:07:25.411', '00:07:49.411']"
6weaVYY5lD8,"['0:00:05.972', '00:00:17.972']"
8Oo6F_m_UMc,"['0:00:08.975', '00:00:24.975']"
-NfmoIS404Q,"['0:02:53.084', '00:03:13.084']"
2Qncy7Xjk6A,"['0:06:03.440', '00:06:23.439']"
CtJ03_pP6ng,"['0:06:31.457', '00:07:07.456']"
